0x40a98b , BZ2_bzWriteOpen , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 81 , 1
0x40c16a , bsFinishWrite , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 70 , 1
0x400e50 , strcmp@plt , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 69 , 67
0x408c42 , BZ2_bzCompressEnd , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 68 , 1
0x407cdb , default_bzalloc , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 60 , 4
0x400d10 , .plt , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 52 , 26
0x407dc4 , isempty_RL , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 50 , 5
0x407d08 , default_bzfree , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 48 , 4
0x40584c , fileExists , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 40 , 2
0x406e3b , mkCell , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 39 , 3
0x417db0 , __libc_csu_init , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 34 , 1
0x4059c7 , applySavedMetaInfoToOutputFile , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 33 , 1
0x406f0f , addFlagsFromEnvVar , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 26 , 2
0x405891 , fopen_output_safely , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 25 , 1
